feature_family,spec_section,evidence_class,stars,supporting_refs,evidence_type,hypothesis_tier,implementation_note,physical_hypothesis,gds_observable,unit,expected_confounders,discrimination_test,falsification,implemented_in,promotes_to_rule_by,emits
cross_layer_architecture,7,GDS_GEOMETRY,5,vanstreels2020beol;zahedmanesh2019metallization,actual BEOL fracture + ERR,tier1,"Preserve layer identity: density_difference_M8_M7, not a generic index. Sign is not fixed (shielding)",A stiff upper group can shield or load the layer beneath it; sign is not fixed,"signed and absolute per-pair differences, layer identity preserved",feature unit,each layer's own density; pair selection if chosen post hoc,tests/test_gradient_and_crosslayer.py::test_signed_difference_cannot_see_a_magnitude_driver,a die where neither layer alone predicts the mismatch,library; CLI; report,a stack split varying the top group at fixed underlying layers,density_difference;density_mismatch;perimeter_density_difference;perimeter_density_mismatch;orientation_difference;orientation_mismatch;line_end_density_difference;line_end_density_mismatch;cross_layer_transition_index;top_to_underlying_density_mismatch;top_to_underlying_orientation_mismatch
largest_polygon,4H,GDS_GEOMETRY,3,,derived geometry descriptor,exploratory,"No direct delamination evidence. Report effect size, no significance claim",,,,,,,library,,
connected_components,4G,GDS_GEOMETRY,3,,derived geometry descriptor,exploratory,No direct delamination evidence. Describes fragmentation/topology only,,,,,,,library,,
empty_area_fraction,4I,GDS_GEOMETRY,3,,derived geometry descriptor,exploratory,Near-perfect collinearity with metal_density expected,,,,,,,library,,
distance_to_die_edge,9,PACKAGE_POSITION,5,rabie2018cpi,actual failure location,tier1_confounder,"Position-only baseline model input, never a geometry-model input",Package-induced shear grows away from the die centre; the BEOL near the edge sees the largest displacement,distance from the cell centre to the declared die outline,um,this IS a confounder; it belongs in the baseline,tests/test_reference_frames.py::test_declared_die_outline_sets_the_position_origin,block permutation must remove it on a die with no position effect,library; CLI; report,not a lever; a control,distance_to_die_edge;normalized_distance_from_die_center
distance_to_nearest_corner,9,PACKAGE_POSITION,5,rabie2018cpi,actual failure location,tier1_confounder,Strongest known confounder for BEOL/CPI delamination,Die corners are the farthest points from the neutral centre and carry the critical bumps,distance from the cell centre to the nearest corner of the declared die outline,um,this IS a confounder; it belongs in the baseline,tests/test_inspection_footprint.py::test_targeted_inspection_fakes_a_position_effect,must go to chance once the inspected footprint is declared,library; CLI; report,not a lever; a control,distance_to_nearest_corner
bump_neighborhood,9 (MISSING),PACKAGE_POSITION,5,rabie2018cpi;vanstreels2020beol,actual failure location,tier1_confounder,NOT IN SPEC. Every Rabie layout lever is bump-relative; a bump/C4 map input is required,The package loads the layout through the bumps; every Rabie lever is bump-relative,"distance, radial/tangential offset, local pitch, under-bump",um; dimensionless,this IS the confounder; it belongs in the baseline,tests/test_via_corner_package.py::test_bump_distance_matches_the_known_bump_positions,"geometry must add information beyond it, not merely score well",library; CLI; report,not a lever; a control,distance_to_nearest_bump;bump_radial_offset;bump_tangential_offset;bump_radial_direction_rad;local_bump_pitch;bump_count_density;under_bump_indicator;distance_to_nearest_pi_opening;distance_to_pi_opening_corner;distance_to_crackstop;distance_to_pad_edge;under_pad_indicator
convnext_anomaly,19,VISION_EMBEDDING,2,,exploratory representation,exploratory,"No delamination physics evidence. Discovery tool only, never a physical quantity",,,,,,,library,,
routing_bump_frame,9 (extended),GDS_GEOMETRY,5,rabie2018cpi,actual failure/CPI,tier1,Needs a bump map to compute but is a layout property; the bump distances stay in the position baseline,Load transfer depends on the angle between routing and the package shear direction; Rabie recommends diagonal final metal under corner bumps,axial routing direction resolved against the bump radial direction,rad; dimensionless alignment and diagonality,"bump distance and die position, which the baseline holds",tests/test_bump_relative_routing.py::test_pipeline_finds_a_direction_driver_no_scalar_feature_can_see,"a window with no dominant direction must return NaN, not 45 degrees",library; CLI; report,Rabie's diagonal final-metal split applied to new hardware,routing_vs_radial_angle_rad;routing_radial_alignment;routing_diagonality
wide_metal,4H (extended),GDS_GEOMETRY,4,rabie2018cpi,"layout lever, indirect",tier1,"Wide metal found by morphological opening, so a shape counts only if genuinely that wide",Wide metal changes local stiffness abruptly at its boundary; Rabie lists wide-metal slotting as a lever,opened-region area fraction and its boundary length,dimensionless; um^-1,metal density; slotting,tests/test_structures.py::test_narrow_routing_is_not_wide_metal,narrow routing must report zero wide-metal fraction,library; CLI; report,a split varying wide-metal extent at fixed density,wide_metal_fraction;wide_metal_perimeter_density
slot,4H (extended),GDS_GEOMETRY,4,rabie2018cpi,"layout lever, indirect",tier1,A slot is a hole in merged metal; counted by centroid,"Slotting relieves wide-metal stress by breaking the continuous span, at the cost of added boundary",holes in merged metal per window area,um^-2,wide-metal fraction,tests/test_structures.py::test_slots_are_counted_and_raise_the_wide_metal_boundary,a solid and a slotted plate must share wide-metal fraction and differ in slot density,library; CLI; report,a slotted-versus-solid split on the same wide metal,slot_density;slotted_metal_fraction
fill,4I (extended),GDS_GEOMETRY,3,,derived geometry descriptor,exploratory,"Declared, never inferred: separating fill from routing by shape is guesswork","Dummy fill contributes to density without carrying current, and sets the shortest edge on a layer",declared fill-layer area per window area and as a fraction of all metal,dimensionless,metal density; it IS the confounder for line-end detection,tests/test_structures.py::test_declared_fill_is_separated_from_functional_metal,"an undeclared fill layer must be recorded as a gap, not guessed",library; CLI; report,not a lever; a nuisance variable to hold fixed,fill_density;fill_fraction
unslotted_wide_metal,4H (extended),GDS_GEOMETRY,4,rabie2018cpi,"layout lever, indirect",tier1,"Wide metal restricted to polygons carrying no slot, split per polygon rather than per window: a window-level split takes two values per layer, so every cell ties and no percentile rank can separate them","A continuous span of wide metal carries the stiffness mismatch across its whole extent; Rabie lists slotting as the lever that breaks the span, so the recommended state must lower the score rather than score identically",area fraction of wide metal on shapes with no slot,dimensionless,metal density; wide-metal fraction; die-corner position,tests/test_atlas.py::test_slotting_lowers_the_score_it_is_supposed_to_lower,a solid and a slotted plate of equal wide-metal fraction must not score alike; the slotted one must score zero,library; CLI; report,a slotted-versus-solid split at fixed wide-metal extent and density,unslotted_wide_metal_fraction
